report_nr,programm,projekttitel,antragsteller_innen_verantwortliche_personen,forderzeitraum_von,forderzeitraum_bis
1,Doppelabschluss BA Franko-Germanistische Studien,DFH-geförderter Studiengang mit U La Réunion,Dr. Judith Kittler,2021-10-01T00:00:00Z,2025-09-30T00:00:00Z
1,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2019-08-01T00:00:00Z,2021-09-30T00:00:00Z
1,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2021-08-01T00:00:00Z,2025-10-31T00:00:00Z
1,eLearning-Wettbewerb 5x5000,Learning Hubs – das Smartphone als e-Learning Tool und Analysegegenstand im Bereich der Virtual Reality,Janou Feikens,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
1,eLearning-Wettbewerb 5x5000,Mediävistisches Varieté: Eine Bühne für die mittelalterliche Sprache und Literatur,PD Dr. Michael Ralf Ott,2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
1,eLearning-Wettbewerb 5x5000,"Ready, Set, Play! Game based Learning und Blended Learning in der Medienwissenschaft",Janou Feikens,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
1,Forschendes Lernen,Der künstliche Text. Eine Editionswerkstatt zu Konrads von Würzburgs 'Engelhard'.,Dr. phil. Lina Herz,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
1,Forschendes Lernen,Digitale Methoden in der Klassischen Philologie: „Dyskolos“ digital,Julia Jennifer Beine,2021-10-01T00:00:00Z,2022-03-31T00:00:00Z
1,Forschendes Lernen,"Literarische Topographie. Erstellung einer interaktiven Online-Karte zu Ernst Jüngers Roman ""Heliopolis""",Dr. Manuel Mackasare,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
1,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
1,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
1,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
1,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
1,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2019-04-01T00:00:00Z,2021-12-31T00:00:00Z
1,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z
1,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
1,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
1,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
1,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
1,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
1,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
1,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
1,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
1,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
2,Doppelabschluss BA Franko-Germanistische Studien,DFH-geförderter Studiengang mit U La Réunion,Dr. Judith Kittler,2021-10-01T00:00:00Z,2025-09-30T00:00:00Z
2,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2019-08-01T00:00:00Z,2021-09-30T00:00:00Z
2,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2021-08-01T00:00:00Z,2025-10-31T00:00:00Z
2,eLearning-Wettbewerb 5x5000,Learning Hubs – das Smartphone als e-Learning Tool und Analysegegenstand im Bereich der Virtual Reality,Janou Feikens,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
2,eLearning-Wettbewerb 5x5000,Mediävistisches Varieté: Eine Bühne für die mittelalterliche Sprache und Literatur,PD Dr. Michael Ralf Ott,2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
2,eLearning-Wettbewerb 5x5000,"Ready, Set, Play! Game based Learning und Blended Learning in der Medienwissenschaft",Janou Feikens,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
2,Forschendes Lernen,Der künstliche Text. Eine Editionswerkstatt zu Konrads von Würzburgs 'Engelhard'.,Dr. phil. Lina Herz,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
2,Forschendes Lernen,Digitale Methoden in der Klassischen Philologie: „Dyskolos“ digital,Julia Jennifer Beine,2021-10-01T00:00:00Z,2022-03-31T00:00:00Z
2,Forschendes Lernen,"Literarische Topographie. Erstellung einer interaktiven Online-Karte zu Ernst Jüngers Roman ""Heliopolis""",Dr. Manuel Mackasare,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
2,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
2,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
2,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
2,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
2,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2019-04-01T00:00:00Z,2021-12-31T00:00:00Z
2,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z
2,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
2,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
2,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
2,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
2,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
2,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
2,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
2,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
2,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
3,Doppelabschluss BA Geschichte,DFH-geförderter Studiengang mit U Tours,Dr. Jens Lieven,2020-08-30T00:00:00Z,2024-07-31T00:00:00Z
3,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
3,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
3,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
3,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
3,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
3,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
3,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
3,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
