"REPORT_NR","SUBJECT_DEGREE","SUBJECT_GROUP"
1,"Evangelische Theologie (Ba 2-F, Mag.Theol, Ma 1-F, Ma 2-F, M.Ed.)","Geisteswissenschaften"
2,"Katholische Theologie (Ba 2-F, Mag.Theol, Ma 2-F, M.Ed.)","Geisteswissenschaften"
3,"Pädagogik (M.Ed.), Erziehungswissenschaft (Ba 2-F, Ma 1-F, Ma 2-F)","Geisteswissenschaften"
4,"Ethics – Economics, Law and Politics (Ma 1-F)","Geisteswissenschaften"
5,"Philosophie/praktische Philosophie (M.Ed.), Philosophie (Ba 2-F, Ma 1-F, Ma 2-F, M.Ed.)","Geisteswissenschaften"
6,"Archäologische Wissenschaften (Ba 1-F, Ba 2-F), Wirtschafts- und Rohstoffarchäologie (Ma 1-F, Ma 2-F), Klassische Archäologie (Ma 1-F, Ma 2-F), Ur- und Frühgeschichte (Ma 1-F, Ma 2-F)","Geisteswissenschaften"
7,"Geschichte (Ba 2-F, Ma 1-F, Ma 2-F, M.Ed.), Public History (Ma 1-F)","Geisteswissenschaften"
8,"Medieval and Renaissance Studies (Ma 1-F)","Geisteswissenschaften"
10,"Allgemeine und vergleichende Literaturwissenschaft (Ba 2-F, Ma 1-F, Ma 2-F)","Geisteswissenschaften"
12,"Anglistik/Amerikanistik (Ba 2-F, Ma 1-F, Ma 2-F), Englisch (M.Ed.)","Geisteswissenschaften"
13,"Germanistik (Ba 2-F, Ma 1-F, Ma 2-F), Deutsch (M.Ed.)","Geisteswissenschaften"
14,"Klassische Philologie (Ba 2-F, Ma 1-F, Ma 2-F), Latein (M.Ed.), Griechisch (M.Ed.)","Geisteswissenschaften"
15,"Medienwissenschaft (Ba 2-F, Ma 1-F, Ma 2-F), Film und audiovisuelle Medien (Ma 1-F)","Geisteswissenschaften"
16,"Orientalistik - Islamwissenschaft (Ba 2-F, Ma 1-F, Ma 2-F)","Geisteswissenschaften"
17,"Romanische Philologie (Ba 2-F, Ma 1-F, Ma 2-F), Romanische Philologie Französisch (Ba 2-F, Ma 1-F, Ma 2-F), Französisch (M.Ed.), Romanische Philologie Italienisch (Ba 2-F, Ma 1-F, Ma 2-F), Italienisch (M.Ed.), Romanische Philologie Spanisch (Ba 2-F, Ma 1-F, Ma 2-F), Spanisch (M.Ed.)","Geisteswissenschaften"
18,"Slavische Philologie (Ba 2-F, Ma 1-F, Ma 2-F), Russische Kultur (Ba 2-F, Ma 1-F, Ma 2-F), Russisch (M.Ed.)","Geisteswissenschaften"
30,"Sinologie (Ba 2-F, Ma 2-F), Chinesisch (M.Ed.), Japanologie (Ba 2-F, Ma 2-F), Japanisch (M.Ed.), Koreanistik (Ba 2-F, Ma 2-F), Ostasienwissenschaften (Ma 1-F)","Geisteswissenschaften"
31,"Wirtschaft und Politik Ostasiens (Ba 1-F), International Political Economy of East Asia (Ma 1-F), Politik Ostasiens (Ma 1-F)","Geisteswissenschaften"
34,"Cognitive Science (Ma 1-F)","Geisteswissenschaften"
35,"Psychologie mit Schwerpunkt Klinische Psychologie (Ma 1-F)","Geisteswissenschaften"
36,"Psychologie (Ba 1-F)","Geisteswissenschaften"
37,"Psychologie mit Schwerpunkt Kognitive Neurowissenschaft (Ma 1-F)","Geisteswissenschaften"
38,"Wirtschaftspsychologie (Ma 1-F), Psychologie mit Schwerpunkt Arbeits-, Organisations- und Wirtschaftspsychologie (Ma 1-F)","Geisteswissenschaften"
62,"Religionswissenschaft (Ba 2-F, Ma 1-F, Ma 2-F)","Geisteswissenschaften"
72,"Evangelische Theologie (M.Ed.), Katholische Theologie (M.Ed.), Philosophie (M.Ed.), Pädagogik (M.Ed.), Geschichte (M.Ed.), Latein (M.Ed.), Griechisch (M.Ed.), Deutsch (M.Ed.), Englisch (M.Ed.), Französisch (M.Ed.), Italienisch (M.Ed.), Spanisch (M.Ed.), Russisch (M.Ed.), Chinesisch (M.Ed.), Japanisch (M.Ed.)","Geisteswissenschaften"
74,"Alle (Sonderauswertung nach Fächergruppen)","Geisteswissenschaften"
56,"Molecular and Developmental Stem Cell Biology (Ma 1-F)","Humanmedizin / Gesundheitswissenschaften"
71,"Vorklinische Medizin (Reformstudiengang) (S), Klinische Medizin (Reformstudiengang) (S), Klinische Medizin (S)","Humanmedizin / Gesundheitswissenschaften"
74,"Alle (Sonderauswertung nach Fächergruppen)","Humanmedizin / Gesundheitswissenschaften"
39,"Bauingenieurwesen (Ba 1-F, Ma 1-F)","Ingenieurwissenschaften"
40,"Computational Engineering (Ma 1-F)","Ingenieurwissenschaften"
41,"Umweltingenieurwesen (Ba 1-F, Ma 1-F), Umwelttechnik und Ressourcenmanagement (Ba 1-F, Ma 1-F)","Ingenieurwissenschaften"
42,"Maschinenbau (Ba 1-F, Ma 1-F)","Ingenieurwissenschaften"
43,"Materials Science and Simulation (Ma 1-F)","Ingenieurwissenschaften"
44,"Sales Engineering and Product Management (Ba 1-F, Ma 1-F)","Ingenieurwissenschaften"
46,"Elektrotechnik und Informationstechnik (Ba 1-F, Ma 1-F)","Ingenieurwissenschaften"
60,"Development-Management (Ma 1-F)","Ingenieurwissenschaften"
64,"Lasers and Photonics (Ma 1-F)","Ingenieurwissenschaften"
74,"Alle (Sonderauswertung nach Fächergruppen)","Ingenieurwissenschaften"
9,"Kunstgeschichte (Ba 2-F, Ma 1-F, Ma 2-F), Kunstgeschichte der Moderne und Gegenwart (Ma 1-F)","Kunst, Kunstwissenschaft"
19,"Theaterwissenschaft (Ba 2-F, Ma 1-F, Ma 2-F), Szenische Forschung (Ma 1-F)","Kunst, Kunstwissenschaft"
74,"Alle (Sonderauswertung nach Fächergruppen)","Kunst, Kunstwissenschaft"
47,"Mathematik (Ba 1-F, Ba 2-F, Ma 1-F, M.Ed.)","Mathematik, Naturwissenschaften"
48,"Physics (Ma 1-F), Physik (Ba 1-F, Ba 2-F, Ma 1-F, M.Ed.)","Mathematik, Naturwissenschaften"
49,"Medizinphysik (Ma 1-F)","Mathematik, Naturwissenschaften"
50,"Geographie (Ba 1-F, Ba 2-F, Ma 1-F, M.Ed.)","Mathematik, Naturwissenschaften"
